rank,artist_names,track_name,peak_rank,weeks_on_chart,streams,País,año
6,Harry Nach,Tak Tiki Tak,6,8,1084112,Argentina,2020
8,Harry Nach,Tak Tiki Tak,8,24,831639,Chile,2020
85,Paloma Mami,Goteo,21,9,228491,Chile,2020
16,Harry Nach,Tak Tiki Tak,16,6,258626,Colombia,2020
33,Harry Nach,Tak Tiki Tak,25,10,1109957,España,2020
6,Harry Nach,Tak Tiki Tak,6,6,115780,Guatemala,2020
19,Harry Nach,Tak Tiki Tak,19,5,32834,Honduras,2020
9,Harry Nach,Tak Tiki Tak,9,6,2234782,México,2020
9,Harry Nach,Tak Tiki Tak,8,7,399468,Perú,2020
76,Harry Nach,Tak Tiki Tak,76,4,7367064,Global,2020
130,Ak4:20,Rata Tan Tan,31,40,214380,Chile,2021
69,Ak4:20,Siempre Fine,8,16,360106,Chile,2021
48,Ak4:20,Skyline,16,29,484833,Chile,2021
37,"Balbi El Chamako, Marcianeke, El BAI",Ponle,38,1,575671,Chile,2021
128,"Cris Mj, Marcianeke",Te Fuiste Con Otro,129,2,215490,Chile,2021
173,"Drago200, Pablo Chill-E, Ak4:20",No Está Interesada,86,39,171419,Chile,2021
44,"El Futuro Fuera De Orbita, Harry Nach, La Nevula23 Productor",Juju Juju,6,22,501788,Chile,2021
8,"Galee Galee, Harry Nach, Pablo Chill-E",Big Cut,9,2,1247507,Chile,2021
188,Harry Nach,Tak Tiki Tak,7,77,156684,Chile,2021
148,Marcianeke,Envidia,148,5,194721,Chile,2021
162,Marcianeke,Pistolas Con Chip,155,5,182130,Chile,2021
99,Marcianeke,Que Sera,94,8,268568,Chile,2021
38,"Marcianeke, Crismj",Tussi Code Mari,39,10,557025,Chile,2021
132,"Marcianeke, yammir, Young Brooklyn, Victor La Voz, NicoClear",Chambee - Remix,124,7,212692,Chile,2021
81,"Pablo Chill-E, Julianno Sosa",Deseos,69,4,310959,Chile,2021
29,"Pailita, Marcianeke",Dimelo Ma,30,9,624011,Chile,2021
88,"Ricky Martin, Paloma Mami",Qué Rico Fuera,68,4,290935,Chile,2021
198,"Simon la Letra, Pablo Chill-E",Bloqueame,62,20,153130,Chile,2021
14,Cris Mj,Una Noche en Medellín,4,20,1322825,Argentina,2022
50,"Polimá Westcoast, Pailita",ULTRA SOLO,29,10,710940,Argentina,2022
60,"Julianno Sosa, King Savagge",Cochinae,48,8,572152,Argentina,2022
67,"Polimá Westcoast, Feid, Pailita, Paloma Mami, De La Ghetto",ULTRA SOLO REMIX,60,3,520227,Argentina,2022
69,Cris Mj,Locura y Maldad,69,4,509726,Argentina,2022
116,Standly,Pégate,77,16,341485,Argentina,2022
117,"Ak4:20, Pailita, Cris Mj",Me Arrepentí,117,1,339782,Argentina,2022
1,"Polimá Westcoast, Feid, Pailita, Paloma Mami, De La Ghetto",ULTRA SOLO REMIX,1,3,3366431,Chile,2022
2,Young Cister,LA TERAPIA,2,1,3038465,Chile,2022
8,"Ak4:20, Pailita, Cris Mj",Me Arrepentí,1,15,1754667,Chile,2022
9,"Polimá Westcoast, Pailita",ULTRA SOLO,1,21,1508615,Chile,2022
10,"Julianno Sosa, King Savagge",Cochinae,3,11,1431611,Chile,2022
12,Cris Mj,Una Noche en Medellín,1,24,1391779,Chile,2022
16,"El Jordan 23, Standly",Bailando,3,21,1292194,Chile,2022
18,Cris Mj,Paz Mental,6,4,1194276,Chile,2022
19,"Polimá Westcoast, Young Cister, Cris Mj",SEXTIME,6,14,1117110,Chile,2022
21,"Pailita, Cris Mj, Big Cvyu",Dime Tú,4,21,1097264,Chile,2022
23,Standly,Panamera,23,12,993447,Chile,2022
25,"Nickoog Clk, Standly",Que se hace,21,5,937652,Chile,2022
28,Standly,Pégate,1,27,883447,Chile,2022
30,"Sayian Jimmy, Standly, Yishark, Nysix Music, Tobal Mj, Benji La Maldita Escritura De Oro",Flotao,26,10,847065,Chile,2022
35,"Pailita, El Casti",Par de Veces,9,14,774999,Chile,2022
37,"Tunechikidd, Pailita, Marcianeke, Nickoog Clk, Criss J.",Sin Miedo,37,2,705958,Chile,2022
40,"Nio Garcia, Pailita",Yo Quiero,23,9,686143,Chile,2022
47,"Cris Mj, Marcianeke, Simon la Letra, Stars Music Chile",Los Malvekes,1,36,629718,Chile,2022
49,Nickoog Clk,En El Jacuzzi,8,13,610715,Chile,2022
50,"Nickoog Clk, Simon la Letra, Standly, Pailita",Phillie y Botella (Remix),17,20,590208,Chile,2022
51,Standly,Bailemos Reggaeton,21,15,584340,Chile,2022
52,"El Barto, El Jordan 23, Standly, Drakomafia, Gabo El Chamaquito",Flaytiando,11,27,552750,Chile,2022
53,"Standly, El Barto",Mi Gata,1,32,552329,Chile,2022
57,"Gino Mella, King Savagge, Best",TAY PAPO,57,2,529890,Chile,2022
58,Pailita,Más de una Vez,40,5,498235,Chile,2022
63,Cris Mj,Como Te Va,13,19,465814,Chile,2022
68,"Balbi El Chamako, El BAI, Marcianeke, Pailita, Young Cister, Jairo Vera, Harry Nach, Forest, Julianno Sosa, Franco ""El Gorilla"", Cris Mj",Ponle - Remix,7,20,440962,Chile,2022
73,"Lleflight, Pablo Chill-E, Gino Mella, Julianno Sosa, El Jordan 23, King Savagge, Polimá Westcoast, Drago200, Jairo Vera, Galee Galee, Best","FULL PIOLI 2.O (feat. Julianno Sosa, El Jordan 23, King Savagge, Polima West Coast, Drago200, Jairo Vera, Galee Galee, Best)",16,17,430154,Chile,2022
75,Cris Mj,Locura y Maldad,20,38,413035,Chile,2022
87,"Pailita, El Casti, Bigcvyu",Hooka,41,29,383957,Chile,2022
89,"Standly, Polimá Westcoast",Me Voy Contigo,34,19,382282,Chile,2022
