rank,artist_names,track_name,peak_rank,weeks_on_chart,streams,País,año
6,Harry Nach,Tak Tiki Tak,6,8,1084112,Argentina,2020
8,Harry Nach,Tak Tiki Tak,8,24,831639,Chile,2020
85,Paloma Mami,Goteo,21,9,228491,Chile,2020
16,Harry Nach,Tak Tiki Tak,16,6,258626,Colombia,2020
33,Harry Nach,Tak Tiki Tak,25,10,1109957,España,2020
6,Harry Nach,Tak Tiki Tak,6,6,115780,Guatemala,2020
19,Harry Nach,Tak Tiki Tak,19,5,32834,Honduras,2020
9,Harry Nach,Tak Tiki Tak,9,6,2234782,México,2020
9,Harry Nach,Tak Tiki Tak,8,7,399468,Perú,2020
76,Harry Nach,Tak Tiki Tak,76,4,7367064,Global,2020
6,Harry Nach,Tak Tiki Tak,6,8,1084112,Argentina,2020
8,Harry Nach,Tak Tiki Tak,8,24,831639,Chile,2020
85,Paloma Mami,Goteo,21,9,228491,Chile,2020
16,Harry Nach,Tak Tiki Tak,16,6,258626,Colombia,2020
33,Harry Nach,Tak Tiki Tak,25,10,1109957,España,2020
6,Harry Nach,Tak Tiki Tak,6,6,115780,Guatemala,2020
19,Harry Nach,Tak Tiki Tak,19,5,32834,Honduras,2020
9,Harry Nach,Tak Tiki Tak,9,6,2234782,México,2020
9,Harry Nach,Tak Tiki Tak,8,7,399468,Perú,2020
76,Harry Nach,Tak Tiki Tak,76,4,7367064,Global,2020
130,Ak4:20,Rata Tan Tan,31,40,214380,Chile,2021
69,Ak4:20,Siempre Fine,8,16,360106,Chile,2021
48,Ak4:20,Skyline,16,29,484833,Chile,2021
37,Balbi El Chamako,Ponle,38,1,575671,Chile,2021
37, Marcianeke,Ponle,38,1,575671,Chile,2021
37, El BAI,Ponle,38,1,575671,Chile,2021
128,Cris Mj,Te Fuiste Con Otro,129,2,215490,Chile,2021
128, Marcianeke,Te Fuiste Con Otro,129,2,215490,Chile,2021
173,Drago200,No Está Interesada,86,39,171419,Chile,2021
173, Pablo Chill-E,No Está Interesada,86,39,171419,Chile,2021
173, Ak4:20,No Está Interesada,86,39,171419,Chile,2021
44,El Futuro Fuera De Orbita,Juju Juju,6,22,501788,Chile,2021
44, Harry Nach,Juju Juju,6,22,501788,Chile,2021
44, La Nevula23 Productor,Juju Juju,6,22,501788,Chile,2021
8,Galee Galee,Big Cut,9,2,1247507,Chile,2021
8, Harry Nach,Big Cut,9,2,1247507,Chile,2021
8, Pablo Chill-E,Big Cut,9,2,1247507,Chile,2021
188,Harry Nach,Tak Tiki Tak,7,77,156684,Chile,2021
148,Marcianeke,Envidia,148,5,194721,Chile,2021
162,Marcianeke,Pistolas Con Chip,155,5,182130,Chile,2021
99,Marcianeke,Que Sera,94,8,268568,Chile,2021
38,Marcianeke,Tussi Code Mari,39,10,557025,Chile,2021
38, Crismj,Tussi Code Mari,39,10,557025,Chile,2021
132,Marcianeke,Chambee - Remix,124,7,212692,Chile,2021
132, yammir,Chambee - Remix,124,7,212692,Chile,2021
132, Young Brooklyn,Chambee - Remix,124,7,212692,Chile,2021
132, Victor La Voz,Chambee - Remix,124,7,212692,Chile,2021
132, NicoClear,Chambee - Remix,124,7,212692,Chile,2021
81,Pablo Chill-E,Deseos,69,4,310959,Chile,2021
81, Julianno Sosa,Deseos,69,4,310959,Chile,2021
29,Pailita,Dimelo Ma,30,9,624011,Chile,2021
29, Marcianeke,Dimelo Ma,30,9,624011,Chile,2021
88,Ricky Martin,Qué Rico Fuera,68,4,290935,Chile,2021
88, Paloma Mami,Qué Rico Fuera,68,4,290935,Chile,2021
198,Simon la Letra,Bloqueame,62,20,153130,Chile,2021
198, Pablo Chill-E,Bloqueame,62,20,153130,Chile,2021
14,Cris Mj,Una Noche en Medellín,4,20,1322825,Argentina,2022
50,Polimá Westcoast,ULTRA SOLO,29,10,710940,Argentina,2022
50, Pailita,ULTRA SOLO,29,10,710940,Argentina,2022
60,Julianno Sosa,Cochinae,48,8,572152,Argentina,2022
60, King Savagge,Cochinae,48,8,572152,Argentina,2022
67,Polimá Westcoast,ULTRA SOLO REMIX,60,3,520227,Argentina,2022
67, Feid,ULTRA SOLO REMIX,60,3,520227,Argentina,2022
67, Pailita,ULTRA SOLO REMIX,60,3,520227,Argentina,2022
67, Paloma Mami,ULTRA SOLO REMIX,60,3,520227,Argentina,2022
67, De La Ghetto,ULTRA SOLO REMIX,60,3,520227,Argentina,2022
69,Cris Mj,Locura y Maldad,69,4,509726,Argentina,2022
116,Standly,Pégate,77,16,341485,Argentina,2022
117,Ak4:20,Me Arrepentí,117,1,339782,Argentina,2022
117, Pailita,Me Arrepentí,117,1,339782,Argentina,2022
117, Cris Mj,Me Arrepentí,117,1,339782,Argentina,2022
1,Polimá Westcoast,ULTRA SOLO REMIX,1,3,3366431,Chile,2022
1, Feid,ULTRA SOLO REMIX,1,3,3366431,Chile,2022
1, Pailita,ULTRA SOLO REMIX,1,3,3366431,Chile,2022
1, Paloma Mami,ULTRA SOLO REMIX,1,3,3366431,Chile,2022
1, De La Ghetto,ULTRA SOLO REMIX,1,3,3366431,Chile,2022
2,Young Cister,LA TERAPIA,2,1,3038465,Chile,2022
8,Ak4:20,Me Arrepentí,1,15,1754667,Chile,2022
8, Pailita,Me Arrepentí,1,15,1754667,Chile,2022
8, Cris Mj,Me Arrepentí,1,15,1754667,Chile,2022
9,Polimá Westcoast,ULTRA SOLO,1,21,1508615,Chile,2022
9, Pailita,ULTRA SOLO,1,21,1508615,Chile,2022
10,Julianno Sosa,Cochinae,3,11,1431611,Chile,2022
10, King Savagge,Cochinae,3,11,1431611,Chile,2022
12,Cris Mj,Una Noche en Medellín,1,24,1391779,Chile,2022
