Unnamed: 0,rank,artist_names,track_name,peak_rank,weeks_on_chart,streams,archivo
64,65,"Reik, Maria Becerra",Los Tragos,30,32,530102,Argentina_2022_limpio.csv
65,66,Bad Bunny,Aguacero,48,9,528434,Argentina_2022_limpio.csv
66,67,"Polimá Westcoast, Feid, Pailita, Paloma Mami, De La Ghetto",ULTRA SOLO REMIX,60,3,520227,Argentina_2022_limpio.csv
67,68,Bad Bunny,Después de la Playa,20,9,517020,Argentina_2022_limpio.csv
68,69,Cris Mj,Locura y Maldad,69,4,509726,Argentina_2022_limpio.csv
69,70,Bad Bunny,Yo No Soy Celoso,25,9,509688,Argentina_2022_limpio.csv
70,71,"Rei, Quevedo",FERNET,71,5,497591,Argentina_2022_limpio.csv
71,72,Bad Bunny,Dos Mil 16,42,9,497502,Argentina_2022_limpio.csv
72,73,"La Pantera, Quevedo, Juseph, Abhir Hathi, Bejo, Cruz Cafuné, EL IMA","Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]",9,22,490608,Argentina_2022_limpio.csv
73,74,Danny Ocean,Fuera del mercado,24,15,485848,Argentina_2022_limpio.csv
74,75,"Tiago PZK, Trueno",Salimo de Noche,1,37,471961,Argentina_2022_limpio.csv
75,76,Salastkbron,TITAN,2,32,466960,Argentina_2022_limpio.csv
76,77,FMK,De Vacaciones,77,3,466629,Argentina_2022_limpio.csv
77,78,Bad Bunny,Yonaguni,3,57,466283,Argentina_2022_limpio.csv
78,79,"Callejero Fino, Four Plack",Fua Mi Amor,62,10,465183,Argentina_2022_limpio.csv
79,80,"Emilia, Rusherking",De Enero a Diciembre,13,29,455523,Argentina_2022_limpio.csv
80,81,"Tainy, Bad Bunny, Julieta Venegas",Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),20,40,454163,Argentina_2022_limpio.csv
81,82,Bad Bunny,Neverita,35,9,453911,Argentina_2022_limpio.csv
82,83,Bad Bunny,Me Fui de Vacaciones,34,9,452998,Argentina_2022_limpio.csv
83,84,"Duki, KHEA",She Don't Give a Fo,3,128,451711,Argentina_2022_limpio.csv
84,85,"LIT killah, De La Ghetto, L-Gante",KU',39,13,451708,Argentina_2022_limpio.csv
85,86,"Mauri Mansilla, E.C.V",Rkteando,44,13,447669,Argentina_2022_limpio.csv
86,87,"Duki, Emilia",Esto Recién Empieza,5,21,446719,Argentina_2022_limpio.csv
87,88,"zzoilo, Aitana",Mon Amour - Remix,25,42,440183,Argentina_2022_limpio.csv
88,89,La Delio Valdez,Inocente,77,77,425749,Argentina_2022_limpio.csv
89,90,"Duki, YSY A, Rei",Pintao,23,25,416113,Argentina_2022_limpio.csv
90,91,Paulo Londra,Chance,3,14,415367,Argentina_2022_limpio.csv
91,92,EL NOBA,Tamo Chelo,33,45,413635,Argentina_2022_limpio.csv
92,93,"Perro Primo, EL NOBA, Al Records",TRUCHO,26,41,411764,Argentina_2022_limpio.csv
93,94,"Prince Royce, Maria Becerra",Te Espero,67,18,408547,Argentina_2022_limpio.csv
94,95,"Mau y Ricky, Maria Becerra",Mal Acostumbrao - con Maria Becerra,4,44,408047,Argentina_2022_limpio.csv
95,96,Bad Bunny,A Tu Merced,61,30,404867,Argentina_2022_limpio.csv
96,97,"Mora, Feid",LA INOCENTE,97,8,404242,Argentina_2022_limpio.csv
97,98,"Emilia, Duki",como si no importara,2,52,399543,Argentina_2022_limpio.csv
98,99,Duki,TOP 5,3,32,394137,Argentina_2022_limpio.csv
