rank,artist_names,track_name,peak_rank,weeks_on_chart,streams,País
81,"Anuel AA, Mariah Angeliq",Bandido,49,5,479264,Espana
82,Beret,Si por mi fuera,3,37,459456,Espana
83,"Sinsinati, Álvaro De Luna",Indios y Vaqueros,19,52,455255,Espana
84,"Dvicio, Reik, ChocQuibTown",DOSIS,56,34,453054,Espana
85,"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),85,11,450312,Espana
86,Lewis Capaldi,Before You Go,86,18,446688,Espana
87,Guitarricadelafuente,Ya mi mama me decía,87,1,442072,Espana
88,"Sinsinati, Álvaro De Luna",Cuando Éramos Dos,74,13,441876,Espana
89,Dani Fernández,Bailemos,89,12,440172,Espana
90,"Sech, Daddy Yankee",Confía,34,6,436077,Espana
91,Rvfv,Gracias a Diosito,88,5,435872,Espana
92,"Kafu Banton, Bad Gyal",Tu Eres Un Bom Bom - Remix,15,12,431454,Espana
93,"David Otero, Taburete",Una Foto en Blanco y Negro,88,23,428841,Espana
94,"Jey Blessing, Rauw Alejandro, Los Fantastikos",Suave - Remix,54,31,426911,Espana
95,"Reik, J Balvin, Lalo Ebratt",Indeciso,3,45,423195,Espana
96,Dua Lipa,Physical,38,22,420637,Espana
97,"Danny Romero, Lérica",De Tranquilote,5,52,418788,Espana
98,BLACKPINK,How You Like That,98,1,418222,Espana
99,"Powfu, beabadoobee",death bed (coffee for your head),42,16,416159,Espana
100,"Farruko, Beéle, NATTI NATASHA, Manuel Turizo",Loco - Remix,70,10,415569,Espana
101,"Don Patricio, Cruz Cafuné",Contando Lunares (feat. Cruz Cafuné),1,74,415221,Espana
102,Myke Towers,Rutina,32,28,414946,Espana
103,"Jhayco, J Balvin, Bad Bunny",No Me Conoce - Remix,4,59,413526,Espana
104,Rauw Alejandro,Algo Mágico,104,1,411729,Espana
105,"Jhayco, Anuel AA, J Balvin",Medusa,5,22,410018,Espana
106,"Rauw Alejandro, Anuel AA, NATTI NATASHA, Farruko, Lunay",Fantasias - Remix,15,17,402849,Espana
107,"Gente De Zona, Becky G",Muchacha,107,10,402807,Espana
108,"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),29,6,402262,Espana
109,NATTI NATASHA,Que Mal Te Fue,89,4,391726,Espana
110,"Pole., Pilar Moxó",Quédate conmigo,38,21,391595,Espana
111,Miki Núñez,Me Vale,109,7,391586,Espana
112,"Morat, Sebastian Yatra",Bajo La Mesa,62,6,390003,Espana
113,"Lérica, Juan Magán",Fuera De Mi Mente,20,34,386542,Espana
114,Manuel Turizo,Quiéreme Mientras Se Pueda,114,8,386440,Espana
115,"El Alfa, Darell, Noriel",4K,53,16,386378,Espana
116,"Bad Bunny, Sech",Ignorantes,5,20,384386,Espana
117,"Topic, A7S",Breaking Me,117,3,375010,Espana
118,"DELLAFUENTE, Rels B",Pa Que No Te Duermas,54,4,373676,Espana
119,"ROSALÍA, Ozuna","Yo x Ti, Tu x Mi",2,46,372378,Espana
120,Anuel AA,Keii,2,21,369963,Espana
121,Manuel Carrasco,Qué Bonito Es Querer,39,52,367247,Espana
122,J Balvin,Blanco,7,33,366555,Espana
123,Juanfran,Como Llora,123,4,364378,Espana
124,"Bad Bunny, Tainy",Callaita,1,57,359352,Espana
125,Drake,Toosie Slide,61,13,356937,Espana
126,"Reik, Farruko, Camilo",Si Me Dices Que Sí,115,11,356299,Espana
127,"Myke Towers, Yandel",Mayor,127,3,355360,Espana
128,"Arcángel, Sech, Romeo Santos",Sigues Con El - Remix,38,12,355335,Espana
129,"Pedro Capó, Farruko",Calma - Remix,2,84,354001,Espana
130,"Danny Romero, Juan Magán",El Hipo,130,2,353883,Espana
131,"Rauw Alejandro, Farruko",Fantasias,3,44,351320,Espana
132,"KAROL G, Anuel AA",Follow,12,13,349912,Espana
133,Doja Cat,Say So,99,18,348502,Espana
134,"Black Eyed Peas, Maluma",FEEL THE BEAT,134,2,342549,Espana
135,Maluma,ADMV,65,10,341517,Espana
136,Jarabe De Palo,La flaca,58,4,341327,Espana
137,"Shawn Mendes, Camila Cabello",Señorita,3,54,340736,Espana
138,"Dímelo Flow, Arcángel, Chencho Corleone, Wisin & Yandel, Myke Towers","Pirueta (with Arcangel, Chencho Corleone, feat. Wisin & Yandel, Myke Towers)",138,8,338432,Espana
139,"Lalo Ebratt, Manuel Turizo",La Presión,139,2,337559,Espana
140,Nil Moliner,Soldadito de Hierro,48,61,336881,Espana
141,"Kidd Keo, Yay",Kikiki (feat. Yay),141,3,336101,Espana
142,Morat,A Dónde Vamos,32,35,334896,Espana
143,"Morat, Aitana",Presiento,16,64,333813,Espana
144,"Yandel, Bad Bunny",CANCIÓN CON YANDEL,19,8,331781,Espana
145,Harry Styles,Watermelon Sugar,142,4,330278,Espana
146,"La Nueva Escuela, Omar Montes",La Rubia - Remix 2,7,59,329212,Espana
147,Fito y Fitipaldis,Soldadito marinero,120,108,325034,Espana
148,"Alex Rose, Rafa Pabön",Jangueo,107,18,324931,Espana
149,Leiva,Como Si Fueras a Morir Mañana,93,62,322270,Espana
150,Dua Lipa,Break My Heart,47,14,320925,Espana
151,"Nicky Jam, Anuel AA",Whine Up,5,36,319672,Espana
152,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",Hola - Remix,7,35,316480,Espana
153,"Camilo, Pedro Capó",Tutu,8,47,314128,Espana
154,Chimbala,Rueda,11,40,313692,Espana
155,"Ovy On The Drums, Beéle",Inolvidable,65,11,313019,Espana
156,Nea,Some Say,156,2,311842,Espana
157,Bad Bunny,BYE ME FUI,15,8,311621,Espana
158,"Rels B, Morad",No Te Imaginas,158,1,311282,Espana
159,"Anuel AA, Farruko, Zion",Que Se Joda,44,5,310360,Espana
160,Morad,Bobo,59,14,310226,Espana
161,"Jawsh 685, Jason Derulo",Savage Love (Laxed - Siren Beat),161,1,307789,Espana
162,Travis Scott,goosebumps,32,10,306457,Espana
163,Bad Bunny,Si Veo a Tu Mamá,11,18,305845,Espana
164,Funzo & Baby Loud,Malibú con Piña,21,25,303237,Espana
165,Lewis Capaldi,Someone You Loved,65,60,302990,Espana
166,"ROSALÍA, J Balvin, El Guincho",Con Altura,1,67,302891,Espana
167,Antonio José,Me Equivocaré,42,40,302416,Espana
168,"Anuel AA, Bad Bunny",Así Soy Yo,36,5,301417,Espana
169,Morad,He Visto,88,6,300563,Espana
170,Pereza,Princesas,128,128,299777,Espana
171,"Daddy Yankee, Snow",Con Calma,1,75,296645,Espana
172,"Jhayco, Ozuna",Easy - Remix,13,33,296360,Espana
173,"Tainy, Anuel AA, Ozuna",Adicto (with Anuel AA & Ozuna),2,45,295570,Espana
174,"David Bisbal, Juan Magán",Bésame,24,52,287997,Espana
175,"Bad Bunny, Daddy Yankee",La Santa,9,18,286471,Espana
176,"Reik, Morat",La Bella y la Bestia,165,3,284108,Espana
177,"Play-N-Skillz, Daddy Yankee, Zion & Lennox",Bésame,177,1,282734,Espana
178,Maroon 5,Memories,38,40,281960,Espana
179,"Sech, Ozuna, Anuel AA, Darell, Nicky Jam",Otro Trago - Remix,2,49,281851,Espana
180,"Dayvi, Victor Cardenas, Kelly Ruíz",Baila Conmigo (feat. Kelly Ruiz),12,51,278987,Espana
181,"Pablo Alborán, Ava Max",Tabú,21,34,278901,Espana
182,"Lunay, Daddy Yankee, Bad Bunny",Soltera (Remix),1,60,275512,Espana
183,"Sticky M.A., C. Tangana, Jambo, Royce Rolo",Ya No,183,1,275080,Espana
184,"J Balvin, Bad Bunny",LA CANCIÓN,6,53,271021,Espana
185,Cepeda,Gentleman,92,15,269597,Espana
186,J Balvin,Negro,18,15,267155,Espana
187,Estopa,Fuego,51,57,267117,Espana
188,Billie Eilish,bad guy,23,66,264357,Espana
189,Estopa,Como Camarón,142,45,263830,Espana
190,Melendi,Caminando por la vida,173,7,259163,Espana
191,"Paula Cendejas, C. Tangana",Como habla una mujer (feat. C. Tangana),123,2,258969,Espana
192,Bad Gyal,Zorra,2,29,256831,Espana
193,StaySolidRocky,Party Girl,187,3,255649,Espana
194,"BENEE, Gus Dapperton",Supalonely,164,14,254666,Espana
195,Bad Bunny,Vete,2,32,254150,Espana
196,Bad Bunny,BENDICIONES,14,8,251040,Espana
197,"Anuel AA, Lil Wayne",Ferrari,62,5,249910,Espana
198,"Cali Y El Dandee, Reik",Borracho De Amor,154,17,248767,Espana
199,Nil Moliner,Bailando,146,13,248302,Espana
200,Marlon,Tequila y Candela,151,21,247573,Espana
