rank,artist_names,track_name,peak_rank,weeks_on_chart,streams,País
83,Anuel AA,Reggaetonera,51,5,99201,Colombia
84,"Super Yei, Jone Quest, Sammy, Myke Towers, Lenny Tavárez, Rafa Pabön",La Forma en Que Me Miras,72,50,98712,Colombia
85,"Morat, Juanes",Besos En Guerra,29,139,97474,Colombia
86,"Shawn Mendes, Camila Cabello",Señorita,10,54,96627,Colombia
87,"Bad Bunny, Don Omar",PA' ROMPERLA,12,8,95669,Colombia
88,"Morat, Sebastian Yatra",Bajo La Mesa,12,6,95473,Colombia
89,"Justin Quiles, Daddy Yankee, El Alfa",PAM,89,9,95069,Colombia
90,Drake,Toosie Slide,58,13,94775,Colombia
91,Andy Rivera,La Oficial,60,12,94531,Colombia
92,"Justin Quiles, NATTI NATASHA, Farruko, Lenny Tavárez, Dalex, Zion","DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",22,43,94527,Colombia
93,"Reik, J Balvin, Lalo Ebratt",Indeciso,7,45,93324,Colombia
94,"Sech, Ozuna",Si Te Vas,9,40,93044,Colombia
95,"Lunay, Ozuna, Myke Towers, Chencho Corleone, Rauw Alejandro",La Cama (Remix),71,14,92960,Colombia
96,"J Balvin, Sky Rompiendo",Verde,10,15,89055,Colombia
97,"Lunay, Daddy Yankee, Bad Bunny",Soltera (Remix),2,60,88905,Colombia
98,Harry Styles,Watermelon Sugar,98,7,88663,Colombia
99,"Sebastian Yatra, Reik",Un Año,7,76,88126,Colombia
100,J Balvin,Rosa,6,15,87819,Colombia
101,"Sech, Daddy Yankee",Confía,49,6,87092,Colombia
102,"Jhayco, Anuel AA, J Balvin",Medusa,14,22,86869,Colombia
103,"Dalex, Rafa Pabön, KHEA, Sech, Feid, Cazzu, Lenny Tavárez",Pa Mí - Remix,1,73,86729,Colombia
104,"Pedro Capó, Farruko",Calma - Remix,1,91,86650,Colombia
105,Morat,Cuando Nadie Ve,22,108,86330,Colombia
106,"Camilo, Christian Nodal",La Mitad,28,11,85621,Colombia
107,"DaBaby, Roddy Ricch",ROCKSTAR (feat. Roddy Ricch),107,7,84959,Colombia
108,"ChocQuibTown, Zion & Lennox, Farruko, Manuel Turizo",Pa Olvidarte (feat. Manuel Turizo) - Remix,2,74,83856,Colombia
109,"Daddy Yankee, Sech",Definitivamente,26,22,83671,Colombia
110,Bad Bunny,A Tu Merced,23,18,83464,Colombia
111,"Greeicy, Mike Bahía",Si Tu Amor No Vuelve,41,17,83284,Colombia
112,"Dalex, Sech",Mejor,20,21,82337,Colombia
113,"Myke Towers, Farruko, Arcángel, Sech, Zion",Si Se Da - Remix,10,48,82125,Colombia
114,"Bad Bunny, Nicky Jam",BAD CON NICKY,18,8,81900,Colombia
115,"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid, Mariah Angeliq",Feel Me,115,4,81043,Colombia
116,Camilo,No Te Vayas,22,66,81021,Colombia
117,Andrés Cepeda,El Equivocado,46,8,80793,Colombia
118,"Feid, Sky Rompiendo",RELXJXTE,14,10,80646,Colombia
119,"Feid, Maluma, Sky Rompiendo",FRESH KERIAS,36,35,80606,Colombia
120,"Piso 21, Myke Towers",Una Vida Para Recordar,16,52,80004,Colombia
121,"Nicky Jam, Daddy Yankee",Muévelo,21,25,79723,Colombia
122,Carlos Vives,No Te Vayas,79,11,79218,Colombia
123,Andy Rivera,Qué Rico Repetirlo,99,5,79086,Colombia
124,"Arcángel, Bad Bunny",Infeliz,18,28,78559,Colombia
125,Camilo,La Difícil,40,28,78093,Colombia
126,"Lalo Ebratt, Sebastian Yatra, Yera, Trapical Minds",Déjate Querer,23,63,77635,Colombia
127,Maroon 5,Memories,61,40,77245,Colombia
128,"Sech, Ozuna, Anuel AA, Darell, Nicky Jam",Otro Trago - Remix,3,49,77118,Colombia
129,"Sech, Justin Quiles, Maluma, Nicky Jam, Farruko, Dalex, Lenny Tavárez",Que Mas Pues - Remix,2,64,76956,Colombia
