rank,artist_names,track_name,peak_rank,weeks_on_chart,streams,País
83,"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid, Wisin, Zion",Quizas,3,41,232695,Chile
84,"Cauty, Lenny Tavárez, Jay Wheeler, Noriel, Alex Rose",Lloras - Remix,78,18,229606,Chile
85,Paloma Mami,Goteo,21,9,228491,Chile
86,"Rauw Alejandro, Myke Towers, Sky Rompiendo",Ponte Pa' Mi,85,11,228479,Chile
87,"Lunay, Anuel AA, Ozuna",Aventura,1,36,220624,Chile
88,"Camilo, Pedro Capó",Tutu,7,47,220053,Chile
89,"Farruko, Beéle, NATTI NATASHA, Manuel Turizo",Loco - Remix,72,10,217941,Chile
90,"Nicky Jam, Daddy Yankee",Muévelo,9,26,216478,Chile
91,Dua Lipa,Break My Heart,53,14,213632,Chile
92,"KAROL G, Anuel AA",Follow,27,13,211950,Chile
93,Harry Styles,Adore You,91,19,211677,Chile
94,Juanfran,Como Llora,87,9,211368,Chile
95,"Bad Bunny, Yaviah",Bichiyal,12,18,210320,Chile
96,"Black Eyed Peas, Ozuna, J. Rey Soul",MAMACITA,96,11,202615,Chile
97,Doja Cat,Say So,61,21,200903,Chile
98,"Lunay, Daddy Yankee, Bad Bunny",Soltera (Remix),2,60,200611,Chile
99,"Justin Quiles, NATTI NATASHA, Farruko, Lenny Tavárez, Dalex, Zion","DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",20,43,200504,Chile
100,"Nio Garcia, Bryant Myers, Lenny Tavárez, Miky Woodz, Jay Wheeler",Nocturna - Remix,80,18,198383,Chile
101,"Myke Towers, Farruko, Arcángel, Sech, Zion",Si Se Da - Remix,5,48,197721,Chile
102,"KEVVO, Farruko, Chencho Corleone, Arcángel, Darell, Ñengo Flow, Brytiago, Myke Towers",105 F Remix,8,42,196763,Chile
103,"Nio Garcia, Brray, Juanka",La Jeepeta,40,25,196027,Chile
104,"Arcángel, Bad Bunny",Infeliz,17,28,193825,Chile
105,"Bad Bunny, Mora",Una Vez,17,18,189894,Chile
106,"Shakira, Anuel AA",Me Gusta,10,25,188441,Chile
107,Bad Bunny,Si Estuviésemos Juntos,14,80,186348,Chile
108,Aya Nakamura,Djadja,99,12,184667,Chile
109,"Jhayco, Anuel AA, J Balvin",Medusa,25,21,183530,Chile
110,Santaferia,Algún Día Volverás,39,102,182743,Chile
111,"Sech, Ozuna, Anuel AA, Darell, Nicky Jam",Otro Trago - Remix,2,49,182719,Chile
112,"Nio Garcia, Rauw Alejandro, Lenny Tavárez, Myke Towers, Casper Magico, Darell",Mírame - Remix,18,50,182094,Chile
113,"Black Eyed Peas, J Balvin",RITMO (Bad Boys For Life),6,38,181188,Chile
114,"Nicky Jam, Anuel AA",Whine Up,5,36,180316,Chile
115,"Myke Towers, Maluma, Farruko",La Playa - Remix,37,26,178618,Chile
116,"Sech, Ozuna",Si Te Vas,6,40,176077,Chile
117,Javiielo,Pa Los Gustos Los Colores,41,38,174523,Chile
118,"Lenny Tavárez, Justin Quiles",La Pared 360,91,21,173995,Chile
119,Noriel,Piropo,23,36,172380,Chile
120,"Sebastian Yatra, Rauw Alejandro, Manuel Turizo",TBT,59,19,172296,Chile
121,"Dalex, Rafa Pabön, KHEA, Sech, Feid, Cazzu, Lenny Tavárez",Pa Mí - Remix,3,73,171813,Chile
122,Bad Bunny,BENDICIONES,15,8,171289,Chile
123,Dalex,+Linda,123,6,170999,Chile
124,"Alex Rose, Rauw Alejandro, Lenny Tavárez, Cazzu, Lyanno",Toda Remix - Remix,9,36,169508,Chile
125,"Anuel AA, Enrique Iglesias",Fútbol & Rumba (feat. Enrique Iglesias),33,5,168641,Chile
126,"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid",Porno,56,38,167707,Chile
127,Juanka,Cárcel,122,4,165825,Chile
128,"Anuel AA, Bad Bunny",Así Soy Yo,28,5,165584,Chile
129,"Sech, Justin Quiles, Maluma, Nicky Jam, Farruko, Dalex, Lenny Tavárez",Que Mas Pues - Remix,8,64,160584,Chile
130,"Mau y Ricky, Manuel Turizo, Camilo",Desconocidos,9,90,158825,Chile
131,"Casper Magico, Bryant Myers, Alex Rose, Juhn",Fantasmita - Remix,55,30,158522,Chile
132,Myke Towers,Piensan,15,42,156995,Chile
133,Melanie Martinez,Play Date,118,8,156867,Chile
134,"Myke Towers, Yandel",Mayor,114,3,156661,Chile
135,"Ceaese, Utopiko, Polimá Westcoast, Young Cister",Te Quiero Ver (feat. Polimá Westcoast y Young Cister),33,80,156529,Chile
136,"Anuel AA, Farruko, Zion",Que Se Joda,31,5,155855,Chile
137,"Noriel, Myke Towers, Rauw Alejandro, Almighty",Cuerpo en Venta,11,47,155213,Chile
138,"Play-N-Skillz, Daddy Yankee, Zion & Lennox",Bésame,124,2,155028,Chile
139,KHEA,Dónde Estás,69,20,152595,Chile
140,"Jhayco, Wisin & Yandel",Imaginaste - Remix,28,35,152091,Chile
141,Daddy Yankee,Que Tire Pa Lante,5,37,152090,Chile
142,"Morat, Sebastian Yatra",Bajo La Mesa,67,6,150554,Chile
143,Santaferia,EL Gil De Tu Ex,28,152,149808,Chile
144,"DaBaby, Roddy Ricch",ROCKSTAR (feat. Roddy Ricch),144,2,149237,Chile
145,Bad Bunny,Pero Ya No,8,18,148862,Chile
146,Rauw Alejandro,Algo Mágico,146,1,148403,Chile
147,"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid",Perreo en La Luna,23,38,147277,Chile
148,Nicki Nicole,Colocao,148,7,146880,Chile
149,"J Balvin, Bad Bunny",QUE PRETENDES,6,53,146687,Chile
150,"Shawn Mendes, Camila Cabello",Señorita,12,54,146164,Chile
151,"Anuel AA, Cardi B, Black Jonas Point, Secreto ""El Famoso Biberon"", Liro Shaq",La Bebe - Remix,137,4,145620,Chile
152,"Lady Gaga, BLACKPINK",Sour Candy (with BLACKPINK),59,5,144868,Chile
153,"NATTI NATASHA, Romeo Santos",La Mejor Versión de Mi - Remix,87,39,141377,Chile
154,Tommy Boysen,Hookah & Sheridan's,14,93,141325,Chile
155,"Piso 21, Micro TDH",Te Vi,20,81,141225,Chile
156,The Weeknd,In Your Eyes,128,15,141181,Chile
157,NATTI NATASHA,Que Mal Te Fue,149,4,140818,Chile
158,"Prince Royce, Myke Towers",Carita de Inocente (feat. Myke Towers) - Remix,158,2,140533,Chile
159,"Darell, Brytiago",Velitas,38,51,140496,Chile
160,The Police,Every Breath You Take,148,32,140285,Chile
161,"Bad Bunny, Ñengo Flow",Que Malo,17,18,139988,Chile
162,"Pedro Capó, Farruko",Calma - Remix,1,91,139846,Chile
163,Paulo Londra,Tal Vez,5,66,138848,Chile
164,Lewis Capaldi,Someone You Loved,164,7,138561,Chile
165,Queen,Bohemian Rhapsody - Remastered 2011,28,101,137056,Chile
166,Danny Ocean,Me Rehúso,1,170,136622,Chile
167,"DJ Luian, Mambo Kingz, Anuel AA, Nicky Jam, Darell, Brytiago",Verte Ir,1,66,136475,Chile
168,"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),157,7,136371,Chile
169,Trevor Daniel,Falling,101,29,135618,Chile
170,Camilo,La Difícil,65,26,135011,Chile
171,"Rvssian, Darell, Zion & Lennox, Myke Towers",B11 (feat. Myke Towers),15,41,134943,Chile
172,"Anuel AA, Haze",Amanece,2,81,134897,Chile
173,"ROSALÍA, J Balvin, El Guincho",Con Altura,12,66,134467,Chile
174,"Sebastian Yatra, Reik",Un Año,11,76,134464,Chile
175,"Reik, Morat",La Bella y la Bestia,133,3,130751,Chile
176,Ed Sheeran,Perfect,58,136,130621,Chile
177,Travis Scott,goosebumps,64,10,130509,Chile
