rank,artist_names,track_name,peak_rank,weeks_on_chart,streams,País
93,"Ir Sais, Rauw Alejandro",Dream Girl - Remix,93,8,36777,Guatemala
94,Harry Styles,Watermelon Sugar,94,7,36770,Guatemala
95,"Justin Quiles, Daddy Yankee, El Alfa",PAM,95,9,36299,Guatemala
96,"Nicky Jam, Anuel AA",Whine Up,11,36,36112,Guatemala
97,Maluma,ADMV,56,10,35752,Guatemala
98,Post Malone,Circles,43,44,35307,Guatemala
99,"Rauw Alejandro, Anuel AA, NATTI NATASHA, Farruko, Lunay",Fantasias - Remix,47,17,35188,Guatemala
100,"Myke Towers, Farruko, Arcángel, Sech, Zion",Si Se Da - Remix,20,48,34879,Guatemala
101,J Balvin,Negro,37,15,34035,Guatemala
102,Camilo,El Mismo Aire,33,11,34010,Guatemala
103,"Black Eyed Peas, Ozuna, J. Rey Soul",MAMACITA,103,11,33984,Guatemala
104,J Balvin,Blanco,26,33,33970,Guatemala
105,"KAROL G, Anuel AA",Follow,36,13,33317,Guatemala
106,"Sech, Darell",Otro Trago,1,63,33299,Guatemala
107,"Farruko, Beéle, NATTI NATASHA, Manuel Turizo",Loco - Remix,78,10,33099,Guatemala
108,Danny Ocean,Me Rehúso,1,184,33065,Guatemala
109,Camilo,No Te Vayas,16,66,32993,Guatemala
110,Carin Leon,Tu - En Vivo,110,3,32960,Guatemala
111,"Dalex, Sech",Mejor,20,21,32809,Guatemala
112,Zion & Lennox,La player (Bandolera),2,120,32797,Guatemala
113,"Myke Towers, Maluma, Farruko",La Playa - Remix,29,26,32706,Guatemala
114,"Mike Bahía, Danny Ocean",Detente,56,33,32658,Guatemala
115,Paulo Londra,Tal Vez,3,66,32517,Guatemala
116,"Jhayco, Anuel AA, J Balvin",Medusa,32,21,32412,Guatemala
117,Beéle,Loco,24,41,32295,Guatemala
118,Dalex,+Linda,97,10,32110,Guatemala
119,Juanfran,Como Llora,119,8,32109,Guatemala
120,"Bad Bunny, Zion & Lennox",MÁS DE UNA CITA,10,8,31771,Guatemala
121,"Sech, Justin Quiles, Maluma, Nicky Jam, Farruko, Dalex, Lenny Tavárez",Que Mas Pues - Remix,12,64,31579,Guatemala
122,Ed Maverick,Fuentes de Ortiz,81,58,31410,Guatemala
123,"Shawn Mendes, Camila Cabello",Señorita,8,54,31330,Guatemala
124,"NATTI NATASHA, Romeo Santos",La Mejor Versión de Mi - Remix,45,39,31160,Guatemala
125,"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),27,6,31071,Guatemala
126,Trevor Daniel,Falling,60,29,31068,Guatemala
127,"Lunay, Anuel AA, Ozuna",Aventura,17,36,30957,Guatemala
128,"Lunay, Ozuna, Myke Towers, Chencho Corleone, Rauw Alejandro",La Cama (Remix),102,14,30893,Guatemala
129,"Noriel, Myke Towers, Rauw Alejandro, Almighty",Cuerpo en Venta,26,47,30523,Guatemala
130,Doja Cat,Say So,71,19,30521,Guatemala
131,"Reik, Morat",La Bella y la Bestia,61,3,30478,Guatemala
132,"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),115,8,30248,Guatemala
133,"Reik, J Balvin, Lalo Ebratt",Indeciso,15,45,30068,Guatemala
134,"DJ Luian, Mambo Kingz, Anuel AA, Nicky Jam, Darell, Brytiago",Verte Ir,3,66,29983,Guatemala
135,Anuel AA,Narcos,55,5,29834,Guatemala
136,"Anuel AA, Enrique Iglesias",Fútbol & Rumba (feat. Enrique Iglesias),32,5,29587,Guatemala
137,La Adictiva,En Peligro de Extinción,39,98,29549,Guatemala
138,Bad Bunny,Pero Ya No,9,18,29370,Guatemala
139,El Fantasma,Palabra de Hombre,139,7,29366,Guatemala
140,Bad Bunny,BENDICIONES,23,8,29308,Guatemala
141,Maroon 5,Memories,59,40,29258,Guatemala
142,KURT,La Mujer Perfecta,69,90,28779,Guatemala
143,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,27,89,28695,Guatemala
144,"Anuel AA, Romeo Santos",Ella Quiere Beber - Remix,4,87,28500,Guatemala
145,"Los Ángeles Azules, Natalia Lafourcade",Nunca Es Suficiente,15,95,28397,Guatemala
146,"Dalex, Nicky Jam, Justin Quiles, Sech, Lenny Tavárez, Feid, Rafa Pabön",Cuaderno,14,60,28206,Guatemala
147,Calibre 50,Simplemente Gracias,77,55,28190,Guatemala
148,"DaBaby, Roddy Ricch",ROCKSTAR (feat. Roddy Ricch),148,2,27984,Guatemala
149,Paulo Londra,Adan y Eva,2,87,27954,Guatemala
150,"Morat, Sebastian Yatra",Bajo La Mesa,42,6,27914,Guatemala
151,Daddy Yankee,Que Tire Pa Lante,8,37,27807,Guatemala
152,Harry Styles,Adore You,96,30,27566,Guatemala
153,"J Balvin, Bad Bunny, Marciano Cantero",UN PESO,18,53,27540,Guatemala
154,"Mau y Ricky, Camilo",La Boca,7,61,27402,Guatemala
155,Myke Towers,Girl,54,23,27147,Guatemala
156,"Eladio Carrion, Zion & Lennox, Wisin & Yandel, Lunay",Mi Error - Remix,79,32,27144,Guatemala
157,"Shakira, Anuel AA",Me Gusta,18,25,27091,Guatemala
158,"Bad Bunny, Yaviah",Bichiyal,16,18,27066,Guatemala
159,"Paulo Londra, Lenny Tavárez",Nena Maldición (feat. Lenny Tavárez),9,115,27048,Guatemala
160,"ChiChi Peralta, Jandy Feliz",Procura,82,60,26873,Guatemala
161,La Adictiva,El Amor de Mi Vida,84,52,26860,Guatemala
162,Ricardo Arjona,El Amor Que Me Tenía,22,5,26629,Guatemala
163,The Weeknd,In Your Eyes,44,15,26587,Guatemala
164,"Alex Rose, Rauw Alejandro, Lenny Tavárez, Cazzu, Lyanno",Toda Remix - Remix,11,37,26348,Guatemala
165,"Pedro Capó, Farruko",Calma - Remix,1,90,26326,Guatemala
166,Aya Nakamura,Djadja,143,7,26195,Guatemala
167,"Bad Bunny, Mora",Una Vez,25,18,25999,Guatemala
168,Lewis Capaldi,Someone You Loved,107,23,25905,Guatemala
169,Banda MS de Sergio Lizárraga,El Color de Tus Ojos,52,140,25852,Guatemala
170,"Sebastian Yatra, Reik",Un Año,11,76,25817,Guatemala
171,"Micro TDH, Rels B, Lenny Tavárez, Justin Quiles",Dime Cuantas Veces (Remix) [feat. Justin Quiles],171,1,25803,Guatemala
172,"Jawsh 685, Jason Derulo",Savage Love (Laxed - Siren Beat),172,1,25768,Guatemala
173,Chayín Rubio,Ya Me Enteré,121,37,25624,Guatemala
174,La Adictiva,Escondidos,114,24,25429,Guatemala
175,"Lenin Ramírez, Grupo Firme",Yo Ya No Vuelvo Contigo - En Vivo,175,3,25133,Guatemala
176,"ROSALÍA, J Balvin, El Guincho",Con Altura,13,65,25042,Guatemala
177,Christian Nodal,Adiós Amor,28,166,25008,Guatemala
178,"BENEE, Gus Dapperton",Supalonely,116,14,24931,Guatemala
179,Los Enanitos Verdes,Lamento Boliviano,91,93,24857,Guatemala
180,Banda MS de Sergio Lizárraga,No Elegi Conocerte,132,33,24766,Guatemala
181,Imagine Dragons,Believer,43,178,24394,Guatemala
182,Alejandro Fernández,Me Dediqué a Perderte,139,86,24257,Guatemala
183,Travis Scott,SICKO MODE,32,26,24252,Guatemala
184,"Grupo Firme, Marca MP",El Güero (Feat. Marca MP),158,21,24212,Guatemala
185,"Sech, Farruko, Zion & Lennox",Solita,26,69,24197,Guatemala
186,Queen,Another One Bites The Dust - Remastered 2011,31,51,24142,Guatemala
187,Bad Bunny,Otra Noche en Miami,52,56,24101,Guatemala
188,Reik,Ya Me Enteré,92,50,24005,Guatemala
189,Reyli Barba,Amor del Bueno,146,48,23870,Guatemala
190,"Mau y Ricky, Camilo, Lunay",La Boca - Remix,23,50,23675,Guatemala
191,Rauw Alejandro,Algo Mágico,191,1,23635,Guatemala
192,"Piso 21, Myke Towers",Una Vida Para Recordar,47,52,23573,Guatemala
193,La Arrolladora Banda El Limón De Rene Camacho,Cedí,103,32,23539,Guatemala
194,Dzharo & Khanza,Ты мой кайф (Ty moy kayf),194,4,23450,Guatemala
195,Rels B,A Mí,180,3,23396,Guatemala
196,Edwin Luna y La Trakalosa de Monterrey,Fíjate Que Sí,21,108,23384,Guatemala
197,"Daddy Yankee, Wisin & Yandel",Si Supieras,11,52,23242,Guatemala
198,"Justin Bieber, Quavo",Intentions (feat. Quavo),57,20,23175,Guatemala
199,"ROSALÍA, Ozuna","Yo x Ti, Tu x Mi",8,42,23168,Guatemala
200,Bad Bunny,Soliá,12,18,23155,Guatemala
