rank,artist_names,track_name,peak_rank,weeks_on_chart,streams,País
81,"Micro TDH, Rels B, Lenny Tavárez, Justin Quiles",Dime Cuantas Veces (Remix) [feat. Justin Quiles],81,1,114106,Peru
82,"Lunay, Ozuna, Myke Towers, Chencho Corleone, Rauw Alejandro",La Cama (Remix),62,14,112947,Peru
83,Bad Bunny,Si Estuviésemos Juntos,69,32,112298,Peru
84,"Piso 21, Myke Towers",Una Vida Para Recordar,17,52,106556,Peru
85,"Reik, J Balvin, Lalo Ebratt",Indeciso,8,45,106494,Peru
86,"Sech, Daddy Yankee",Confía,86,6,106412,Peru
87,"Dalex, Rafa Pabön, KHEA, Sech, Feid, Cazzu, Lenny Tavárez",Pa Mí - Remix,1,73,105761,Peru
88,Camilo,El Mismo Aire,20,11,105211,Peru
89,Maluma,11 PM,9,59,104993,Peru
90,"Sech, Ozuna, Anuel AA, Darell, Nicky Jam",Otro Trago - Remix,3,49,103743,Peru
91,Danna Paola,Oye Pablo,60,42,103126,Peru
92,"NATTI NATASHA, Romeo Santos",La Mejor Versión de Mi - Remix,49,39,102678,Peru
93,"Mau y Ricky, Camilo, Lunay",La Boca - Remix,19,50,102669,Peru
94,"Shawn Mendes, Camila Cabello",Señorita,9,54,101564,Peru
95,"Sech, Ozuna",Si Te Vas,11,40,101284,Peru
96,Doja Cat,Say So,46,21,100827,Peru
97,"Yandel, Bad Bunny",CANCIÓN CON YANDEL,31,8,100305,Peru
98,Daniela Darcourt,Señor Mentira,25,72,100057,Peru
99,"ROSALÍA, Travis Scott",TKN (feat. Travis Scott),64,5,100031,Peru
100,"Shakira, Anuel AA",Me Gusta,13,25,99180,Peru
101,"Sebastian Yatra, Reik",Un Año,9,76,99062,Peru
102,"Reik, Morat",La Bella y la Bestia,63,3,98456,Peru
103,J Balvin,Blanco,25,33,98219,Peru
104,"TINI, Sebastian Yatra",Oye,19,38,97506,Peru
105,"Mau y Ricky, Camilo",La Boca,15,61,97168,Peru
106,"Bad Bunny, Don Omar",PA' ROMPERLA,28,8,97025,Peru
107,"Sech, Justin Quiles, Maluma, Nicky Jam, Farruko, Dalex, Lenny Tavárez",Que Mas Pues - Remix,5,64,96727,Peru
108,"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),96,10,96433,Peru
109,"Mike Bahía, Greeicy",Esta Noche,42,83,96281,Peru
110,Harry Styles,Watermelon Sugar,110,7,95550,Peru
111,Maluma,ADMV,56,10,95462,Peru
112,"Bad Bunny, Nicky Jam",BAD CON NICKY,22,8,95272,Peru
113,"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),31,6,95123,Peru
114,"Daddy Yankee, Sech",Definitivamente,30,22,94953,Peru
115,"KAROL G, Anuel AA",Follow,44,13,94851,Peru
116,"Myke Towers, Farruko, Arcángel, Sech, Zion",Si Se Da - Remix,10,48,92617,Peru
117,"Piso 21, Christian Nodal",Pa' Olvidarme De Ella,69,43,92599,Peru
118,"Ovy On The Drums, Beéle",Inolvidable,96,11,92278,Peru
119,"J Balvin, Bad Bunny",QUE PRETENDES,7,53,92079,Peru
120,N'Samble,Me Vas a Extrañar,55,83,91627,Peru
121,"Jawsh 685, Jason Derulo",Savage Love (Laxed - Siren Beat),121,2,89968,Peru
122,"Juanes, Sebastian Yatra",Bonita,23,43,89781,Peru
123,Danny Ocean,Me Rehúso,1,179,88542,Peru
124,Paulo Londra,Tal Vez,5,66,88230,Peru
125,Anuel AA,Keii,14,21,88058,Peru
126,"Alvaro Rod, Amy Gutiérrez",Vamos a Escapar - Salsa Version,126,3,87418,Peru
127,"Anuel AA, Enrique Iglesias",Fútbol & Rumba (feat. Enrique Iglesias),49,5,87415,Peru
128,"Pedro Capó, Farruko",Calma - Remix,1,88,84741,Peru
129,"Nicky Jam, Anuel AA",Whine Up,8,35,83454,Peru
130,Bacilos,Caraluna,81,184,83379,Peru
131,Drake,Toosie Slide,93,13,82556,Peru
132,"Greeicy, Mike Bahía",Amantes,7,136,82372,Peru
133,Daddy Yankee,Que Tire Pa Lante,5,37,82367,Peru
134,Harry Styles,Adore You,107,18,81760,Peru
135,"ROSALÍA, J Balvin, El Guincho",Con Altura,9,66,81654,Peru
136,Danna Paola,Sodio,75,21,81448,Peru
137,Paulo Londra,Adan y Eva,1,87,80842,Peru
138,"Sebastian Yatra, Rauw Alejandro, Manuel Turizo, Cosculluela, Lalo Ebratt, Llane, Dalmata",TBT - Remix,78,10,79708,Peru
139,"Abraham Mateo, Sofía Reyes",¿Qué Ha Pasao'?,101,35,79036,Peru
140,"BENEE, Gus Dapperton",Supalonely,87,16,78747,Peru
141,"Sech, Darell",Otro Trago,1,63,78403,Peru
142,Melanie Martinez,Play Date,116,9,78322,Peru
143,KURT,La Mujer Perfecta,102,71,77853,Peru
144,"Camilo, Christian Nodal",La Mitad,46,11,77669,Peru
145,Maluma,ADMV - Versión Urbana,120,5,77550,Peru
146,Beéle,Loco,11,40,76762,Peru
147,Bad Bunny,A Tu Merced,43,18,76634,Peru
148,"Greeicy, Mike Bahía",Si Tu Amor No Vuelve,84,17,76551,Peru
149,"Myke Towers, Maluma, Farruko",La Playa - Remix,49,26,75872,Peru
150,"Dalex, Sech",Mejor,55,21,75774,Peru
151,J Balvin,Negro,62,15,75351,Peru
152,Los Enanitos Verdes,Lamento Boliviano,114,94,75290,Peru
153,"ROSALÍA, Ozuna","Yo x Ti, Tu x Mi",9,46,75207,Peru
154,"Lenny Tavárez, Justin Quiles",La Pared 360,96,21,75096,Peru
155,"Carlos Baute, Marta Sánchez",Colgando en tus manos (con Marta Sánchez),139,74,74415,Peru
156,"KAROL G, Maluma",Créeme,9,87,73967,Peru
157,"Lunay, Anuel AA, Ozuna",Aventura,25,36,73014,Peru
158,"El Alfa, Chael Produciendo",Singapur,158,1,72730,Peru
159,Sebastian Yatra,Cristina,16,67,72555,Peru
160,"Dalex, Nicky Jam, Justin Quiles, Sech, Lenny Tavárez, Feid, Rafa Pabön",Cuaderno,11,60,71795,Peru
161,"Anuel AA, Romeo Santos",Ella Quiere Beber - Remix,3,87,71560,Peru
162,Dstance,Niña Bonita - Acústico,76,10,71512,Peru
163,Morat,Cuando Nadie Ve,43,108,71459,Peru
164,NATTI NATASHA,Que Mal Te Fue,134,3,71238,Peru
165,BTS,Stay Gold,82,2,71015,Peru
166,Danna Paola,TQ Y YA,166,1,70994,Peru
167,"Rauw Alejandro, Myke Towers, Sky Rompiendo",Ponte Pa' Mi,160,9,70883,Peru
168,"Black Eyed Peas, Maluma",FEEL THE BEAT,168,1,70671,Peru
169,"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid, Mariah Angeliq",Feel Me,168,3,70360,Peru
170,"Eladio Carrion, Zion & Lennox, Wisin & Yandel, Lunay",Mi Error - Remix,103,26,70186,Peru
171,"Matisse, Camilo",Primer Avión,63,34,70116,Peru
172,Rels B,A Mí,172,9,69861,Peru
173,Fonseca,Te Mando Flores,82,139,69067,Peru
174,Bembe Orquesta,Amigos No por Favor,54,56,68933,Peru
175,"Arcángel, Bad Bunny",Infeliz,57,28,68766,Peru
176,"Jhayco, Anuel AA, J Balvin",Medusa,53,21,68660,Peru
